iter	Passed	Remaining
526	124581	111816
527	124798	111562
528	125011	111304
529	125232	111055
530	125457	110809
531	125648	110533
532	125874	110287
533	126090	110033
534	126281	109758
535	126472	109483
536	126707	109247
537	126916	108987
538	127102	108709
539	127322	108460
540	127540	108209
541	127769	107967
542	127984	107714
543	128206	107467
544	128416	107210
545	128633	106958
546	128836	106696
547	129049	106442
548	129233	106164
549	129458	105920
550	129661	105658
551	129859	105392
552	130033	105108
553	130248	104857
554	130476	104616
555	130677	104354
556	130915	104121
557	131122	103864
558	131321	103600
559	131557	103366
560	131768	103113
561	131972	102853
562	132181	102599
563	132383	102338
564	132580	102075
565	132793	101823
566	132987	101558
567	133196	101304
568	133407	101052
569	133616	100798
570	133832	100550
571	134059	100310
572	134275	100062
573	134484	99809
574	134649	99523
575	134854	99267
576	135062	99014
577	135265	98757
578	135467	98500
579	135682	98252
580	135914	98017
581	136126	97767
582	136317	97502
583	136537	97259
584	136763	97020
585	136969	96766
586	137177	96515
587	137396	96270
588	137600	96016
589	137804	95762
590	138002	95504
591	138176	95229
592	138393	94984
593	138629	94753
594	138839	94504
595	139049	94254
596	139257	94004
597	139440	93737
598	139640	93482
599	139856	93237
600	140063	92987
601	140270	92736
602	140502	92503
603	140733	92268
604	140949	92025
605	141169	91783
606	141378	91535
607	141594	91290
608	141813	91049
609	142028	90804
610	142213	90542
611	142436	90302
612	142666	90068
613	142865	89814
614	143070	89564
615	143277	89315
616	143473	89060
617	143681	88812
618	143882	88561
619	144097	88317
620	144313	88075
621	144500	87815
622	144717	87573
623	144920	87324
624	145130	87078
625	145326	86824
626	145537	86579
627	145742	86331
628	145944	86081
629	146164	85842
630	146342	85579
631	146531	85322
632	146724	85067
633	146917	84813
634	147122	84566
635	147323	84317
636	147570	84094
637	147765	83841
638	147968	83594
639	148167	83344
640	148386	83105
641	148571	82848
642	148776	82602
643	148972	82351
644	149174	82103
645	149386	81862
646	149595	81618
647	149809	81377
648	150011	81131
649	150230	80893
650	150420	80640
651	150636	80401
652	150832	80151
653	151028	79902
654	151233	79657
655	151442	79415
656	151651	79172
657	151860	78930
658	152075	78691
659	152289	78451
660	152489	78205
661	152706	77967
662	152925	77731
663	153130	77487
664	153300	77226
665	153482	76971
666	153678	76724
667	153898	76488
668	154097	76242
669	154308	76002
670	154505	75756
671	154718	75517
672	154915	75271
673	155130	75033
674	155355	74800
675	155558	74557
676	155768	74318
677	156008	74092
678	156209	73848
679	156419	73608
680	156616	73363
681	156820	73121
682	157033	72883
683	157210	72629
684	157425	72392
685	157624	72148
686	157890	71935
687	158107	71699
688	158308	71457
689	158503	71211
690	158699	70966
691	158898	70723
692	159115	70488
693	159338	70255
694	159567	70026
695	159767	69783
696	159954	69535
697	160152	69292
698	160363	69055
699	160569	68815
700	160775	68576
701	160985	68338
702	161201	68103
703	161422	67870
704	161618	67627
705	161800	67378
706	162008	67140
707	162224	66906
708	162433	66668
709	162619	66422
710	162843	66190
711	163057	65955
712	163266	65718
713	163452	65472
714	163682	65243
715	163915	65016
716	164106	64772
717	164313	64535
718	164525	64299
719	164727	64060
720	164944	63827
721	165153	63590
722	165342	63346
723	165547	63109
724	165740	62867
725	165936	62626
726	166147	62391
727	166362	62157
728	166578	61924
729	166786	61688
730	166993	61451
731	167181	61208
732	167384	60971
733	167603	60739
734	167840	60513
735	168044	60276
736	168269	60047
737	168482	59813
738	168671	59571
739	168882	59337
740	169082	59098
741	169244	58847
742	169468	58618
743	169697	58390
744	169913	58158
745	170140	57930
746	170355	57697
747	170555	57459
748	170786	57232
749	171001	57000
750	171208	56765
751	171439	56538
752	171644	56303
753	171875	56076
754	172096	55845
755	172289	55606
756	172511	55376
757	172727	55145
758	172939	54912
759	173156	54681
760	173384	54453
761	173600	54221
762	173817	53990
763	174021	53755
764	174244	53526
765	174456	53293
766	174630	53049
767	174842	52817
768	175048	52582
769	175264	52351
770	175530	52135
771	175752	51906
772	175993	51682
773	176188	51445
774	176415	51217
775	176644	50990
776	176895	50769
777	177104	50536
778	177324	50306
779	177521	50070
780	177714	49832
781	177902	49594
782	178100	49358
783	178314	49127
784	178535	48898
785	178770	48672
786	178981	48441
787	179187	48207
788	179387	47972
789	179604	47742
790	179825	47513
791	180033	47281
792	180206	47040
793	180408	46806
794	180591	46567
795	180825	46342
796	181036	46110
797	181254	45881
798	181461	45649
799	181681	45420
800	181884	45187
801	182100	44957
802	182306	44725
803	182514	44493
804	182717	44260
805	182916	44027
806	183157	43803
807	183365	43571
808	183575	43340
809	183819	43118
810	184022	42885
811	184234	42655
812	184462	42428
813	184669	42197
814	184886	41967
815	185080	41733
816	185276	41500
817	185484	41269
818	185707	41041
819	185925	40812
820	186146	40584
821	186380	40359
822	186642	40140
823	186912	39923
824	187152	39699
825	187412	39479
826	187633	39251
827	187867	39025
828	188074	38794
829	188306	38568
830	188600	38355
831	188823	38127
832	189050	37900
833	189282	37674
834	189529	37451
835	189773	37228
836	189993	36999
837	190229	36774
838	190456	36547
839	190674	36318
840	190895	36090
841	191150	35869
842	191384	35643
843	191678	35428
844	191946	35209
845	192173	34981
846	192400	34754
847	192661	34533
848	192869	34303
849	193089	34074
850	193317	33847
851	193553	33621
852	193763	33391
853	194006	33167
854	194228	32939
855	194436	32708
856	194692	32486
857	194922	32259
858	195165	32035
859	195457	31818
860	195744	31601
861	196092	31392
862	196354	31171
863	196621	30949
864	196926	30734
865	197118	30500
866	197418	30284
867	197668	30060
868	197956	29841
869	198289	29629
870	198560	29407
871	198875	29192
872	199171	28974
873	199460	28755
874	199762	28537
875	200030	28314
876	200302	28092
877	200663	27882
878	200872	27651
879	201098	27422
880	201395	27203
881	201672	26981
882	201923	26755
883	202150	26526
884	202373	26297
885	202613	26069
886	202837	25840
887	203058	25610
888	203242	25376
889	203453	25145
890	203669	24915
891	203905	24688
892	204113	24457
893	204319	24225
894	204530	23995
895	204747	23765
896	205085	23549
897	205330	23322
898	205560	23094
899	205809	22867
900	206065	22642
901	206293	22413
902	206500	22182
903	206731	21953
904	206950	21724
905	207202	21497
906	207397	21265
907	207633	21037
908	207858	20808
909	208084	20579
910	208317	20351
911	208541	20122
912	208755	19892
913	208975	19662
914	209195	19433
915	209427	19205
916	209654	18976
917	209858	18745
918	210055	18514
919	210259	18283
920	210472	18053
921	210692	17824
922	210930	17596
923	211170	17368
924	211389	17139
925	211629	16912
926	211820	16680
927	212001	16448
928	212216	16218
929	212414	15988
930	212609	15757
931	212828	15528
932	213050	15299
933	213262	15069
934	213446	14838
935	213636	14607
936	213831	14377
937	214025	14146
938	214221	13916
939	214413	13685
940	214619	13456
941	214821	13226
942	215058	12999
943	215275	12770
944	215482	12541
945	215673	12311
946	215869	12081
947	216031	11849
948	216227	11620
949	216452	11392
950	216673	11164
951	216890	10935
952	217110	10707
