iter	Quantile:alpha=0.9
335	15301.83002
336	15293.77603
337	15286.25682
338	15277.84231
339	15273.82227
340	15266.28408
341	15259.93618
342	15255.74084
343	15249.03924
344	15242.33589
345	15235.45458
346	15228.16286
347	15223.85012
348	15219.4669
349	15213.92745
350	15208.7035
351	15199.46211
352	15192.48468
353	15189.35521
354	15182.27211
355	15177.4765
356	15168.19788
357	15162.917
358	15158.33719
359	15153.6955
360	15145.27044
361	15137.96322
362	15125.37493
363	15115.71542
364	15109.45568
365	15106.44982
366	15100.16265
367	15095.98518
368	15091.80902
369	15087.36197
370	15080.78565
371	15073.66344
372	15066.96181
373	15062.74124
374	15057.40537
375	15054.03843
376	15049.50031
377	15042.88636
378	15037.80799
379	15032.64584
380	15020.4846
381	15015.37906
382	15010.58687
383	15003.96414
384	14999.97289
385	14993.70922
386	14988.79239
387	14984.11579
388	14977.18485
389	14966.11194
390	14964.1089
391	14959.70737
392	14954.40736
393	14945.18724
394	14937.52238
395	14934.09593
396	14923.7533
397	14915.46052
